GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard.collector,HpsmCollectorTask,112,356,19,25,25,87,18,16,4,8
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard.collector,DefaultHpsmClient,1860,0,158,0,390,0,112,0,33,0
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard.collector,HpsmSettings,234,0,0,0,85,0,67,0,67,0
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard.collector,DefaultHpsmClient.SoapRequestType,48,0,0,0,2,0,4,0,4,0
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard.model,HpsmSoapModel,45,0,0,0,19,0,13,0,13,0
com.capitalone.dashboard:hpsm-cmdb-collector,com.capitalone.dashboard.model,HpsmCollector,0,24,0,0,0,8,0,3,0,3
